date,run,ball,min
26 May 1999,2,3,10
23 May 1999,140,101,114
15 May 1999,28,46,71
16 January 1999,5,12,27
14 January 1999,45,42,68
12 January 1999,23,19,37
9 January 1999,0,5,10
13 November 1998,124,92,140
11 November 1998,11,12,33
9 November 1998,18,28,57
8 November 1998,118,112,173
6 November 1998,3,6,15
31 October 1998,8,14,20
28 October 1998,141,128,191
30 September 1998,2,6,7
27 September 1998,29,21,33
26 September 1998,127,130,155
20 September 1998,77,109,157
7 July 1998,128,131,182
1 July 1998,17,16,28
23 June 1998,53,36,43
19 June 1998,65,50,79
31 May 1998,100,103,156
28 May 1998,18,25,33
25 May 1998,33,29,48
24 April 1998,134,131,195
22 April 1998,143,131,187
20 April 1998,38,58,93
19 April 1998,80,72,136
17 April 1998,40,41,62
14 April 1998,15,24,45
9 April 1998,1,2,18
7 April 1998,100,89,132
5 April 1998,5,17,44
1 April 1998,8,11,21
18 January 1998,41,26,-
16 January 1998,1,6,14
14 January 1998,95,78,104
11 January 1998,67,44,-
10 January 1998,54,76,104
28 December 1997,6,13,23
22 December 1997,82,86,110
16 December 1997,1,2,3
14 December 1997,3,4,4
11 December 1997,91,87,146
2 October 1997,7,11,19
30 September 1997,21,18,24
28 September 1997,2,11,17
21 September 1997,51,64,106
20 September 1997,6,7,10
18 September 1997,0,10,26
14 September 1997,25,45,66
13 September 1997,17,54,82
24 August 1997,39,32,41
23 August 1997,27,31,47
20 August 1997,6,6,4
17 August 1997,27,28,55
26 July 1997,53,67,109
24 July 1997,28,21,36
18 July 1997,21,28,49
21 May 1997,4,7,10
17 May 1997,2,4,19
14 May 1997,117,137,188
3 May 1997,1,11,17
30 April 1997,9,15,22
27 April 1997,65,70,111
26 April 1997,44,43,57
15 February 1997,13,15,18
13 February 1997,45,33,48
13 February 1997,32,27,55
9 February 1997,104,97,121
7 February 1997,41,56,81
4 February 1997,14,24,34
2 February 1997,1,14,14
27 January 1997,6,8,8
23 January 1997,0,4,12
14 December 1996,114,126,157
6 November 1996,67,88,128
3 November 1996,62,60,-
29 October 1996,28,38,55
23 October 1996,64,93,133
21 October 1996,88,111,189
17 October 1996,11,8,20
23 September 1996,23,44,-
21 September 1996,3,9,-
18 September 1996,2,13,-
17 September 1996,20,23,-
16 September 1996,89,89,-
6 September 1996,7,11,24
1 September 1996,40,46,60
28 August 1996,110,138,-
27 May 1996,1,11,18
25 May 1996,6,19,26
24 May 1996,30,19,30
19 April 1996,57,71,104
17 April 1996,17,26,32
15 April 1996,118,140,-
14 April 1996,2,15,23
12 April 1996,1,5,-
5 April 1996,100,111,-
3 April 1996,28,31,-
13 March 1996,65,88,96
9 March 1996,31,59,103
6 March 1996,3,12,10
2 March 1996,137,137,198
27 February 1996,90,84,124
21 February 1996,70,91,137
18 February 1996,127,138,175
29 November 1995,1,4,14
26 November 1995,65,59,96
24 November 1995,7,11,27
18 November 1995,39,51,79
15 November 1995,30,20,30
14 April 1995,41,41,51
9 April 1995,112,107,137
7 April 1995,4,9,13
5 April 1995,48,30,37
22 February 1995,47,40,65
18 February 1995,37,51,75
16 February 1995,13,15,30
11 November 1994,105,134,180
9 November 1994,88,112,147
7 November 1994,54,64,130
5 November 1994,66,68,101
3 November 1994,62,54,80
30 October 1994,34,47,53
28 October 1994,115,136,184
23 October 1994,8,24,28
20 October 1994,0,4,7
17 October 1994,0,4,3
17 September 1994,0,2,6
9 September 1994,110,130,186
5 September 1994,6,5,13
4 September 1994,11,16,-
22 April 1994,24,26,59
19 April 1994,6,7,12
15 April 1994,73,64,96
13 April 1994,63,77,125
2 April 1994,40,26,34
30 March 1994,63,75,91
27 March 1994,82,49,69
25 March 1994,15,19,22
20 February 1994,52,63,83
18 February 1994,11,18,25
15 February 1994,1,5,10
27 November 1993,28,43,-
24 November 1993,15,31,-
22 November 1993,3,25,-
18 November 1993,24,16,22
16 November 1993,2,8,-
7 November 1993,26,30,-
14 August 1993,25,39,-
12 August 1993,15,30,-
25 July 1993,21,39,-
22 March 1993,8,6,8
19 March 1993,3,9,16
5 March 1993,34,30,42
4 March 1993,5,6,7
1 March 1993,24,32,42
26 February 1993,3,6,7
21 January 1993,1,5,9
18 January 1993,82,81,116
19 December 1992,21,38,-
17 December 1992,23,39,-
15 December 1992,32,52,-
13 December 1992,21,44,-
11 December 1992,22,24,-
9 December 1992,10,36,-
7 December 1992,15,27,-
25 October 1992,39,56,92
15 March 1992,14,14,14
12 March 1992,84,107,122
10 March 1992,4,11,11
7 March 1992,81,77,88
4 March 1992,54,62,91
1 March 1992,11,19,19
22 February 1992,35,44,51
20 January 1992,69,100,116
18 January 1992,4,10,12
16 January 1992,57,88,118
14 January 1992,31,44,64
11 January 1992,77,127,157
15 December 1991,21,35,38
14 December 1991,48,57,62
10 December 1991,57,107,111
8 December 1991,36,65,79
6 December 1991,1,9,14
14 November 1991,1,3,-
12 November 1991,4,8,-
10 November 1991,62,73,-
25 October 1991,0,1,-
23 October 1991,49,38,-
22 October 1991,11,27,-
19 October 1991,22,27,-
18 October 1991,52,40,-
4 January 1991,53,70,-
28 December 1990,4,11,-
8 December 1990,30,29,-
5 December 1990,53,41,-
1 December 1990,36,22,-
20 July 1990,31,26,31
18 July 1990,19,35,38
27 April 1990,20,25,-
25 April 1990,10,12,-
6 March 1990,36,39,51
1 March 1990,0,2,2
18 December 1989,0,2,-
